N,Price,Dist,Rooms,Nfloors,Floor,Totsp,Livesp,Kitsp,Metrdist,Walk,Brick,Bal,Tel,New
1569.0,5650000.0,14.490858529363152,1,9,5,33.7,19,6,10,1,0.0,1.0,1,0.0
1570.0,5300000.0,17.785995439964022,1,9,7,35,21,6.5,10,1,0.0,0.0,None,0.0
1571.0,14129000.0,6.07906061723875,3,24,10,87,47,15,8,1,1.0,1.0,None,1.0
1572.0,5245350.0,19.4773361445506,1,45,25,36.3,None,None,7,0,1.0,1.0,None,1.0
1573.0,5246285.0,19.4773361445506,1,45,26,36.2,None,None,7,0,1.0,1.0,None,1.0
1574.0,5246285.0,19.4773361445506,1,45,26,36.2,None,None,20,0,1.0,0.0,None,1.0
1575.0,5247135.0,19.4773361445506,1,45,27,36.1,None,None,7,0,1.0,1.0,None,1.0
1576.0,5250000.0,13.908073469004758,1,9,6,34,18,8,10,1,0.0,0.0,1,0.0
1577.0,5250000.0,18.221699276609876,2,9,8,44,28,6,10,0,0.0,0.0,1,0.0
1578.0,5250000.0,17.903786005875677,1,9,5,35,21,6.5,10,1,0.0,1.0,None,0.0
1579.0,5266640.0,18.151205446959572,1,25,20,34.4,15.6,8,5,1,0.0,0.0,None,1.0
1580.0,5299000.0,17.47688948314083,1,17,1,39,21,9,5,1,0.0,0.0,1,0.0
1581.0,5300000.0,19.239919243046426,1,16,9,38.1,17.1,8,6,0,0.0,1.0,1,0.0
1582.0,5300000.0,18.03656399130844,2,5,3,46.2,26.7,6.1,None,None,1.0,1.0,0,0.0
1583.0,5300000.0,16.449449532577873,1,14,1,32.4,18,10,17,1,0.0,0.0,1,0.0
1584.0,5300000.0,16.449449532577873,1,14,1,32.4,18,10,10,0,0.0,0.0,1,0.0
1585.0,5300000.0,18.67558738295942,1,17,2,38,19,8.5,11,0,0.0,1.0,1,0.0
1586.0,5300000.0,13.853298945183882,1,9,3,33,17,7,10,1,0.0,0.0,0,0.0
1587.0,5300000.0,16.977701959081507,1,9,8,33,19,6,8,1,0.0,0.0,1,0.0
1588.0,5300000.0,16.429050331026186,1,11,8,42,20,11,5,0,1.0,1.0,None,1.0
1589.0,5300000.0,15.348365816335138,1,9,8,33.2,18.4,6.5,5,1,0.0,0.0,1,0.0
1590.0,5300000.0,19.45322720565073,2,9,7,45,28,7,10,0,0.0,0.0,None,0.0
1591.0,5300000.0,19.45322720565073,2,9,7,45,38,7,15,0,0.0,0.0,None,0.0
1592.0,5300000.0,17.844787612142692,2,9,1,44,28,6,10,0,0.0,0.0,1,0.0
1593.0,5300000.0,17.785995439964022,1,9,7,34.3,20.8,7,10,1,0.0,1.0,1,0.0
1594.0,5300000.0,18.648236038175725,1,17,7,38.1,19.2,8.2,11,1,0.0,1.0,1,0.0
1595.0,5300000.0,18.133678469939483,2,9,9,45,28.2,6,None,None,0.0,0.0,0,0.0
1596.0,5300000.0,18.458189883217443,2,9,3,47,27,7,10,0,0.0,1.0,1,0.0
1597.0,12500000.0,10.432710318601083,3,16,6,65,40,8.5,8,1,0.0,1.0,1,0.0
1598.0,7505100.0,7.412761774943323,2,15,2,55.8,31.2,9.4,15,0,1.0,1.0,None,1.0
1599.0,7400000.0,8.290705418030788,2,9,4,45,28,6,5,1,0.0,0.0,None,0.0
1600.0,5300000.0,17.278186171349148,1,14,8,35,19.6,9.7,15,1,0.0,1.0,1,0.0
1601.0,5300000.0,14.707402338209228,1,16,13,38,19,9,10,1,0.0,1.0,0,0.0
1602.0,5300000.0,16.720086631166943,1,9,2,32,18,6,12,1,0.0,0.0,0,0.0
1603.0,5324867.0,19.873930681638846,1,45,34,35.9,14.6,8,15,0,1.0,1.0,None,1.0
1604.0,5337915.0,19.873930681638846,1,45,31,36.3,14.6,8,15,0,1.0,1.0,None,1.0
1605.0,5342400.0,6.07906061723875,1,14,10,40.4,18,11,3,0,1.0,1.0,None,1.0
1606.0,5350000.0,13.83680558790951,1,9,6,32.7,18,7,16,1,0.0,0.0,1,0.0
1607.0,5350000.0,18.789916593180006,1,16,14,39,28.7,9.6,10,1,0.0,1.0,0,0.0
1608.0,5350000.0,16.115826098729244,1,17,1,39.3,21,9.5,9,1,0.0,0.0,1,0.0
1609.0,5355000.0,19.873930681638846,1,45,35,36,14.6,8,15,0,1.0,1.0,None,1.0
1610.0,5355000.0,19.4773361445506,1,45,35,36,None,None,20,0,1.0,0.0,None,1.0
1611.0,5370640.0,19.4773361445506,1,45,37,35.9,None,None,20,0,1.0,0.0,None,1.0
1612.0,5380000.0,17.925418612060138,1,9,7,33,19,7,9,1,0.0,0.0,None,0.0
1613.0,5380000.0,16.69169731314631,1,17,3,39,19,8.5,3,1,0.0,1.0,None,0.0
1614.0,5383560.0,19.873930681638846,1,45,33,36.4,14.6,8,15,0,1.0,1.0,None,1.0
1615.0,5398800.0,18.151205446959572,1,25,18,33,14.7,8,5,1,0.0,0.0,None,1.0
1616.0,5400000.0,19.027093990749535,2,12,7,45,28.8,6.8,None,None,0.0,1.0,1,0.0
1617.0,5400000.0,9.177231007531445,1,5,1,36,18,6,26,1,0.0,0.0,1,0.0
1618.0,5400000.0,16.735029015636588,1,9,5,35,21,7,12,1,0.0,1.0,1,0.0
1619.0,5400000.0,9.481595325020423,1,12,1,36,20,10,7,1,0.0,0.0,1,0.0
1620.0,5400000.0,17.195434843328883,1,12,11,32.8,18,6,10,1,0.0,1.0,0,0.0
1621.0,5400560.0,19.4773361445506,1,45,37,36.1,14.6,8,15,0,1.0,1.0,0,0.0
1622.0,5400560.0,19.4773361445506,1,45,37,36.1,None,None,20,0,1.0,0.0,None,1.0
1623.0,5425000.0,19.873930681638846,1,45,39,31,15.9,10.6,None,None,0.0,1.0,None,1.0
1624.0,5436200.0,19.873930681638846,1,45,42,30.8,16.6,9.7,None,None,0.0,0.0,None,1.0
1625.0,6350000.0,8.163997146580666,1,14,14,38.7,19.5,10,10,1,0.0,1.0,None,0.0
1626.0,9950000.0,15.380451580012526,2,17,5,60,35,10.5,20,1,0.0,1.0,1,0.0
1627.0,16000000.0,12.126348380664021,4,22,5,95,70,12,10,1,0.0,1.0,1,0.0
1628.0,5450000.0,17.497177389599916,1,17,1,37,20,8,3,1,0.0,0.0,1,0.0
1629.0,5450000.0,16.299725900189,1,16,14,37,19,8,12,1,0.0,1.0,0,0.0
1630.0,5450000.0,15.97542039970174,1,12,2,35,18,10,5,0,0.0,0.0,0,0.0
1631.0,5490000.0,17.38135535653426,1,9,2,33,19,7,8,0,0.0,0.0,1,0.0
1632.0,5497800.0,18.151205446959572,1,25,16,33,14.7,8,5,1,0.0,0.0,None,1.0
1633.0,5500000.0,9.206987058733272,1,12,2,35,21,9.6,5,1,0.0,0.0,1,0.0
1634.0,5500000.0,9.405960422486078,2,8,6,36,26,6,3,0,0.0,1.0,1,0.0
1635.0,5500000.0,18.028648991190455,2,12,10,48,32,7.5,10,0,0.0,1.0,1,0.0
1636.0,5500000.0,16.45776281520757,1,17,8,45.7,18.6,11,5,0,1.0,1.0,None,1.0
1637.0,5500000.0,19.705412903827398,2,12,2,52,30,8.5,10,0,0.0,0.0,0,0.0
1638.0,5500000.0,14.127711846274535,1,9,7,34,28,None,1,1,0.0,0.0,None,0.0
1639.0,5500000.0,19.82190014401588,3,9,6,49,34,6,None,None,0.0,1.0,1,0.0
1640.0,5500000.0,18.41959626815199,1,12,3,35.1,19,8.5,15,1,0.0,0.0,1,0.0
1641.0,5500000.0,6.619952249048387,1,5,2,30.6,19,6,None,None,1.0,1.0,1,0.0
1642.0,5500000.0,6.8741931203976945,1,5,4,33,20,6,3,1,0.0,1.0,1,0.0
1643.0,5500000.0,6.861198178315717,1,5,1,33,21,5,10,0,0.0,0.0,1,0.0
1644.0,5500000.0,17.96155162122301,1,9,9,37,20,9,12,1,0.0,1.0,None,0.0
1645.0,5528582.0,6.07906061723875,1,15,8,39.7,18,10,3,0,1.0,1.0,None,1.0
1646.0,5542389.0,6.07906061723875,1,15,8,39.8,18,10,3,0,1.0,1.0,None,1.0
1647.0,5550000.0,13.19699804624095,1,16,15,39.5,18.7,8.5,1,1,1.0,1.0,None,0.0
1648.0,5590000.0,15.382564969475931,1,17,13,39,19,10,10,1,0.0,1.0,1,0.0
1649.0,5590000.0,15.156234205778114,1,9,5,33,19,7,8,1,0.0,0.0,1,0.0
1650.0,5591290.0,6.07906061723875,1,15,14,39.3,18,9,3,0,1.0,1.0,None,1.0
1651.0,5600000.0,18.11173311111571,2,9,1,46,27,None,20,0,0.0,0.0,1,0.0
1652.0,5600000.0,17.746580155736876,2,12,5,44,25,6,10,0,0.0,1.0,None,0.0
1653.0,4290000.0,17.297410753095395,1,12,5,36.1,22.8,8,5,0,0.0,0.0,1,0.0
1654.0,19900000.0,11.719359368972624,3,17,8,80,46,13,9,1,0.0,1.0,None,0.0
1655.0,4539519.0,19.4773361445506,1,45,39,30.9,None,None,20,0,1.0,0.0,None,1.0
1656.0,5600000.0,13.903556293132324,2,9,2,47,30.5,6.1,5,0,0.0,0.0,1,0.0
1657.0,5600000.0,17.457069056775783,2,12,8,47.8,30.7,6.8,5,0,0.0,1.0,1,0.0
1658.0,5600000.0,17.242061338544158,1,12,7,33,17,7.5,11,1,0.0,1.0,None,0.0
1659.0,5600000.0,17.396269639602174,2,9,5,44.7,28.9,6.8,15,1,0.0,0.0,1,0.0
1660.0,5600000.0,16.9546587619045,1,16,6,35,16,12,4,1,0.0,1.0,1,0.0
1661.0,5600000.0,18.754333107869478,1,12,7,39.2,21.1,8.5,None,None,0.0,1.0,1,0.0
1662.0,5600000.0,18.933867423174654,1,12,3,40.2,20.8,8.6,10,0,0.0,1.0,0,0.0
1663.0,5607200.0,18.151205446959572,1,25,21,34.4,15.6,8,5,1,0.0,0.0,None,1.0
1664.0,5649300.0,6.07906061723875,1,14,7,42.1,18,11,3,0,1.0,1.0,None,1.0
1665.0,5650000.0,13.299268369298089,2,5,5,43,27,6.8,4,1,0.0,1.0,1,0.0
1666.0,5660992.0,6.07906061723875,1,13,7,36.2,18,9,3,0,1.0,1.0,None,1.0
1667.0,5679360.0,18.48588563031229,1,19,13,38.4,16,12,7,1,1.0,0.0,None,1.0
1668.0,5690000.0,6.761836137967626,1,9,1,33,21,5.5,12,0,0.0,0.0,0,0.0
1669.0,5690000.0,18.506852051642863,1,17,17,39,19,9,15,1,0.0,1.0,1,0.0
1670.0,5699000.0,14.964252654643087,1,9,9,35,18,7,5,0,0.0,0.0,1,0.0
1671.0,5700000.0,14.105661771799767,2,5,5,46,33,6,10,1,0.0,1.0,None,0.0
1672.0,5700000.0,15.987602580152638,2,14,3,38,23,6,7,1,0.0,1.0,None,0.0
1673.0,5700000.0,9.89823940982021,1,17,1,38,19,9,7,0,0.0,0.0,1,0.0
1674.0,5700000.0,18.708883616085735,1,17,14,39,20,8.6,10,1,0.0,1.0,1,0.0
1675.0,5700000.0,15.97542039970174,1,12,3,36,20,8,9,1,0.0,0.0,None,0.0
1676.0,5700000.0,16.43904580925791,1,17,3,38.7,18.9,8.4,5,1,0.0,1.0,None,0.0
1677.0,5700000.0,16.955144177066202,1,9,3,35,21,6,10,1,0.0,1.0,1,0.0
1678.0,5700000.0,16.674399639812442,1,12,4,33,18,7,19,1,0.0,1.0,0,0.0
1679.0,5700000.0,17.30145513469314,1,12,12,33,18,8,15,1,0.0,1.0,1,0.0
1680.0,5700000.0,18.907329365143006,2,12,11,47,31,7,11,0,0.0,1.0,1,0.0
1681.0,10245900.0,14.166012098154741,2,7,4,69.7,32.6,13.3,10,1,1.0,0.0,None,1.0
1682.0,20824200.0,12.171029941484921,2,20,2,100.6,95.7,16.6,4,1,0.0,1.0,None,1.0
1683.0,18000000.0,16.542035030268153,5,14,1,101,61.3,17,26,1,0.0,0.0,1,0.0
1684.0,2865000.0,20.46639053551836,1,7,3,20.5,20.5,None,8,1,1.0,1.0,None,1.0
1685.0,2920500.0,12.85064972090417,1,15,2,17.7,12,3,11,1,0.0,0.0,0,0.0
1686.0,3081784.0,26.426027658496118,1,17,17,27.9,27.9,None,15,1,1.0,0.0,None,1.0
1687.0,3082891.0,26.426027658496118,1,17,16,27.9,27.9,None,15,1,1.0,0.0,None,1.0
1688.0,3083213.0,26.426027658496118,1,16,9,28.5,28.5,None,15,1,1.0,0.0,None,1.0
1689.0,3179644.0,26.426027658496118,1,17,15,28.6,28.6,None,15,1,1.0,0.0,None,1.0
1690.0,3311500.0,12.85064972090417,1,15,9,17.9,12,3,11,1,0.0,0.0,None,0.0
1691.0,3814554.0,26.426027658496118,1,17,2,37.2,37.2,None,15,1,1.0,0.0,None,1.0
1692.0,3841599.0,26.426027658496118,1,16,2,39.2,39.2,None,15,1,1.0,0.0,None,1.0
1693.0,3854774.0,26.426027658496118,1,17,2,39.2,39.2,None,15,1,1.0,0.0,None,1.0
1694.0,3867394.0,26.426027658496118,1,16,2,39.5,39.5,None,15,1,1.0,0.0,None,1.0
1695.0,3939931.0,26.426027658496118,1,16,7,37.6,37.6,None,15,1,1.0,0.0,None,1.0
1696.0,3941610.0,26.426027658496118,1,16,3,40.2,40.2,None,15,1,1.0,0.0,None,1.0
1697.0,3943618.0,26.426027658496118,1,16,8,38.7,38.7,None,15,1,1.0,0.0,None,1.0
1698.0,3999000.0,20.46639053551836,3,6,3,55,50,None,8,1,1.0,1.0,None,1.0
1699.0,4027770.0,26.426027658496118,1,16,14,37.7,37.7,None,15,1,1.0,0.0,None,1.0
1700.0,4102386.0,26.426027658496118,1,17,15,40.1,40.1,None,15,1,1.0,0.0,None,1.0
1701.0,4176000.0,12.517183339473375,1,19,6,28.8,13.3,4,7,0,1.0,0.0,None,1.0
1702.0,4240800.0,12.517183339473375,1,19,4,27.9,13.3,4,7,0,1.0,0.0,None,1.0
1703.0,4300000.0,27.540829576410566,1,17,13,44,20,9,15,0,0.0,1.0,1,0.0
1704.0,4300000.0,27.65041214703205,1,14,13,42.1,19.7,8.5,15,0,0.0,1.0,None,0.0
1705.0,4300000.0,16.88058861807035,1,9,1,28,16,6,5,0,0.0,0.0,None,0.0
1706.0,4350000.0,25.945660897315804,1,17,17,41.7,18.6,11.2,12,1,1.0,1.0,None,0.0
1707.0,4400000.0,24.71432065967373,1,14,2,37.6,18.9,8,5,1,0.0,0.0,1,0.0
1708.0,4500000.0,18.04919780345809,1,9,5,33,18,6,12,1,0.0,0.0,None,0.0
1709.0,17300000.0,8.215130947490477,3,17,11,75,43,10,10,1,0.0,1.0,1,0.0
1710.0,7200000.0,16.361152916363384,2,9,3,45,27,6.5,20,1,0.0,0.0,None,0.0
1711.0,10600000.0,7.820209946744151,3,4,1,66.5,46.2,8,6,1,0.0,0.0,1,0.0
1712.0,4500000.0,27.67870567560917,1,17,3,42,20,9,None,None,0.0,1.0,0,0.0
1713.0,4500000.0,27.47599949166684,1,17,6,40,18,7,None,None,0.0,1.0,None,0.0
1714.0,4500000.0,27.70516264036489,1,17,6,38,18,8,5,1,0.0,1.0,None,0.0
1715.0,4500000.0,27.682286899401007,1,10,4,42.2,20,8.7,15,0,0.0,1.0,None,0.0
1716.0,4550000.0,27.859476410260537,1,24,7,40,19,12,10,0,0.0,1.0,0,0.0
1717.0,4554000.0,12.517183339473375,1,19,19,27.6,14,5.6,7,0,1.0,0.0,None,1.0
1718.0,4600000.0,27.69811679760432,1,14,7,43.4,19.8,9,None,None,0.0,1.0,1,0.0
1719.0,4645200.0,12.517183339473375,1,19,8,31.6,14.2,10.9,7,0,1.0,0.0,None,1.0
1720.0,4650000.0,24.52975354456723,1,10,2,29,16,None,10,1,0.0,1.0,None,0.0
1721.0,4700000.0,18.025129215897383,1,9,6,32.5,18,6,12,0,0.0,0.0,1,0.0
1722.0,4708046.0,26.426027658496118,1,17,4,37.6,37.6,None,15,1,1.0,0.0,None,1.0
1723.0,4750000.0,25.652520141112138,1,9,6,41,19.5,7,7,1,0.0,1.0,None,0.0
1724.0,4750000.0,25.652520141112138,1,9,6,41,19.5,7,7,1,0.0,1.0,None,0.0
1725.0,4750000.0,25.945660897315804,1,17,3,37.6,18.5,10.5,17,1,1.0,1.0,None,0.0
1726.0,4800000.0,10.828448583508308,1,5,5,30,18,7,10,1,0.0,1.0,0,0.0
1727.0,4831200.0,12.517183339473375,2,19,4,36.6,22.6,5.9,7,0,1.0,0.0,None,1.0
1728.0,4850000.0,10.828448583508308,1,5,5,30,17,6,22,1,0.0,1.0,None,0.0
1729.0,4850000.0,24.847296725569613,1,9,6,30,16,6,12,1,0.0,1.0,None,0.0
1730.0,4850000.0,11.282568850920432,1,5,5,30.9,17.5,6,15,1,0.0,1.0,1,0.0
1731.0,4898000.0,14.166012098154741,1,7,3,31.2,18,10,15,1,1.0,1.0,None,1.0
1732.0,4900000.0,18.04919780345809,1,9,9,33,18,6,10,1,0.0,0.0,None,0.0
1733.0,4963200.0,12.517183339473375,2,19,4,37.6,25.6,6.8,7,0,1.0,0.0,None,1.0
1734.0,4967055.0,26.426027658496118,1,17,17,38.8,38.8,None,15,1,1.0,0.0,None,1.0
1735.0,4968736.0,14.166012098154741,1,7,5,34.4,13.7,8.2,7,0,1.0,1.0,None,1.0
1736.0,4976600.0,12.85064972090417,1,15,2,35.2,17.2,11.6,11,1,0.0,0.0,0,0.0
1737.0,15500000.0,14.93142194047568,1,23,4,57,37,14,5,0,1.0,1.0,1,0.0
1738.0,14500000.0,15.249294483939059,3,22,8,70,42,10,15,1,0.0,1.0,1,0.0
1739.0,18350000.0,10.842746528658335,3,17,6,75,45,10.2,8,1,0.0,1.0,1,0.0
1740.0,4980000.0,25.201256875721583,1,12,6,36.3,14.5,9.2,12,1,0.0,1.0,None,0.0
1741.0,4980000.0,8.884065614895073,1,5,5,37,20,7.8,12,1,0.0,1.0,1,0.0
1742.0,4983180.0,14.166012098154741,1,7,7,34.5,12.3,11.5,7,0,1.0,1.0,None,1.0
1743.0,5000000.0,12.10540520604318,1,9,3,31.6,21.4,6,5,0,0.0,1.0,1,0.0
1744.0,5000000.0,9.83031885300464,1,9,2,32,20,None,15,1,0.0,0.0,None,0.0
1745.0,5000000.0,25.43892284393408,1,10,5,36,14.6,9.1,10,1,0.0,1.0,1,0.0
1746.0,5000000.0,18.080528279640575,1,9,4,33,19,6,15,1,0.0,0.0,1,0.0
1747.0,5038242.0,21.869069012486175,1,31,8,48.5,17.6,12,15,1,1.0,1.0,None,1.0
1748.0,5038242.0,21.869069012486175,1,31,8,48.5,17.6,12,15,1,1.0,1.0,None,1.0
1749.0,5048399.0,21.869069012486175,1,23,2,40.1,12.2,14.2,15,1,1.0,1.0,None,1.0
1750.0,5054000.0,12.517183339473375,2,19,7,36.1,26.3,4.9,7,0,1.0,0.0,None,1.0
1751.0,5055400.0,14.166012098154741,1,7,5,35,14.4,8.2,7,0,1.0,1.0,None,1.0
1752.0,5083736.0,21.869069012486175,1,23,13,39.8,11.9,14.0,15,1,1.0,1.0,None,1.0
1753.0,5090820.0,14.166012098154741,1,7,4,35.7,13.9,11.3,7,0,1.0,0.0,None,1.0
1754.0,5100000.0,24.39216176094436,1,12,7,40,20,10,10,1,0.0,1.0,1,0.0
1755.0,5100000.0,24.2674812584444,1,9,7,36,15,11,8,1,0.0,1.0,1,0.0
1756.0,5108400.0,12.517183339473375,2,19,3,38.7,26.3,4.9,7,0,1.0,0.0,None,1.0
1757.0,5119340.0,14.166012098154741,1,7,3,35.9,14.6,11.4,7,0,1.0,1.0,None,1.0
1758.0,5120000.0,12.517183339473375,1,19,17,32,14.2,10.9,7,0,1.0,0.0,None,1.0
1759.0,5120996.0,21.869069012486175,1,31,3,50.3,18.4,13.4,15,1,1.0,1.0,None,1.0
1760.0,5131539.0,21.869069012486175,1,31,6,50.3,18.4,13.4,15,1,1.0,1.0,None,1.0
1761.0,5137740.0,14.166012098154741,1,7,4,36.5,16.6,9.8,7,0,1.0,0.0,None,1.0
1762.0,5145744.0,14.166012098154741,1,7,6,35.4,15.4,8.9,7,0,1.0,0.0,None,1.0
1763.0,5150000.0,14.01900263423965,1,5,3,28,13,6,3,1,0.0,1.0,None,0.0
1764.0,5162120.0,14.166012098154741,1,7,3,36.2,14.7,11.2,7,0,1.0,0.0,None,1.0
1765.0,6000000.0,14.166012098154741,1,7,3,40,20,12,15,1,1.0,1.0,None,1.0
1766.0,14700000.0,5.4594985656648864,2,9,5,49,28,8,5,1,1.0,1.0,1,0.0
1767.0,23000000.0,10.465121722030004,3,24,17,68.3,50,10,10,1,1.0,1.0,0,0.0
1768.0,5168000.0,12.517183339473375,1,19,14,32.3,13.3,4,7,0,1.0,0.0,None,1.0
1769.0,5186203.0,26.426027658496118,2,17,2,55.7,55.7,None,15,1,1.0,0.0,None,1.0
1770.0,5190000.0,25.43892284393408,1,10,3,36,16,9,10,1,0.0,0.0,1,0.0
1771.0,5191302.0,21.869069012486175,1,31,17,47.9,17.6,12,15,1,1.0,1.0,None,1.0
1772.0,5191548.0,26.426027658496118,2,17,2,57.6,57.6,None,15,1,1.0,0.0,None,1.0
1773.0,5200000.0,14.166012098154741,1,7,4,42.4,33,9,23,1,1.0,1.0,None,1.0
1774.0,5200000.0,22.686569760503403,1,14,2,40,18,9,16,1,0.0,1.0,1,0.0
1775.0,5200000.0,23.59382226145375,1,12,1,36,15,10,2,1,0.0,0.0,1,0.0
1776.0,5200000.0,25.787745395799842,1,17,11,38,19,8,12,1,0.0,1.0,1,0.0
1777.0,5200000.0,18.065303205945906,1,9,8,33,19,6,17,1,0.0,0.0,1,0.0
1778.0,5217300.0,12.517183339473375,2,19,16,34.1,31.8,6.9,7,0,1.0,0.0,None,1.0
1779.0,5224000.0,12.85064972090417,1,15,12,34.6,34.6,None,11,1,0.0,0.0,None,1.0
1780.0,5233200.0,12.517183339473375,1,19,15,35.6,11.3,11,7,0,1.0,0.0,None,1.0
1781.0,5245122.0,21.869069012486175,1,31,16,48.5,17.6,12,15,1,1.0,1.0,None,1.0
1782.0,5248370.0,21.869069012486175,1,31,16,48.5,17.6,12,15,1,1.0,1.0,None,1.0
1783.0,5248370.0,21.869069012486175,1,31,16,48.5,17.6,12,15,1,1.0,1.0,None,1.0
1784.0,5250000.0,20.46639053551836,3,6,4,70,60,None,8,1,1.0,1.0,None,1.0
1785.0,5250000.0,23.75737360559982,2,3,3,54.8,34,10,15,1,0.0,1.0,None,0.0
1786.0,5250000.0,11.848917305222496,1,5,5,32,19,6,26,1,0.0,1.0,0,0.0
1787.0,5278960.0,14.166012098154741,1,7,3,38,16.6,11.3,7,0,1.0,0.0,None,1.0
1788.0,5281779.0,26.426027658496118,2,16,12,53.6,53.6,None,15,1,1.0,0.0,None,1.0
1789.0,5285529.0,26.426027658496118,2,16,4,58.6,58.6,None,15,1,1.0,0.0,None,1.0
1790.0,5290900.0,12.517183339473375,2,19,18,33.7,31.8,6.9,7,0,1.0,0.0,None,1.0
1791.0,5300000.0,27.69811679760432,1,18,3,43,20,8.5,10,0,0.0,1.0,None,0.0
1792.0,5300000.0,11.343594970569736,1,5,5,35,18,6.5,14,1,0.0,1.0,None,0.0
1793.0,4464000.0,14.166012098154741,1,7,2,27.9,19.1,4.8,10,1,1.0,0.0,None,1.0
1794.0,5800000.0,23.05548052343306,1,22,11,39,20,11,2,1,0.0,1.0,1,0.0
1795.0,6000000.0,17.173981277477186,1,9,2,33.1,20,6,6,1,0.0,0.0,1,0.0
1796.0,5300000.0,25.13720948243056,1,6,6,40.7,21,9,7,1,0.0,1.0,1,0.0
1797.0,5300000.0,13.930359823073795,1,9,6,33.1,20,8,15,1,0.0,0.0,1,0.0
1798.0,5300000.0,23.016957802240654,1,16,4,35,15,9.3,5,1,0.0,0.0,None,0.0
1799.0,5300000.0,9.7460380605732,1,5,1,32,20,6,3,1,0.0,0.0,1,0.0
1800.0,5300000.0,24.42989463972792,1,9,3,38.6,20.6,8.5,11,1,0.0,0.0,1,0.0
1801.0,5300000.0,23.576663832816077,1,16,1,38,17,9,3,1,0.0,1.0,1,0.0
1802.0,5300000.0,11.305470795772399,1,5,3,31.1,18,6,25,1,0.0,1.0,None,0.0
1803.0,5300000.0,27.887975605589762,1,10,6,42.4,19.9,8,10,0,0.0,1.0,1,0.0
1804.0,5300948.0,14.166012098154741,1,7,6,36.7,14.9,9.4,7,0,1.0,0.0,None,1.0
1805.0,5304800.0,26.426027658496118,1,17,5,41.9,16.6,12.9,15,1,1.0,1.0,None,1.0
1806.0,5325880.0,26.426027658496118,1,17,5,41.9,41.9,None,15,1,1.0,0.0,None,1.0
1807.0,5372376.0,21.869069012486175,1,31,4,48.2,17.6,12,15,1,1.0,1.0,None,1.0
1808.0,5377159.0,26.426027658496118,2,17,7,58.6,58.6,None,15,1,1.0,0.0,None,1.0
1809.0,5388348.0,21.869069012486175,1,23,13,39.1,14.6,10.4,15,1,1.0,1.0,None,1.0
1810.0,5390000.0,16.403782540514626,1,9,7,33,19,6,28,1,0.0,0.0,0,0.0
1811.0,5393000.0,12.85064972090417,1,15,9,36.2,36.2,None,11,1,0.0,0.0,None,1.0
1812.0,5400000.0,23.703196167954882,1,22,20,39,20,10,4,1,0.0,1.0,None,0.0
1813.0,5400000.0,14.166012098154741,1,7,5,34.4,16,10,5,0,1.0,1.0,None,1.0
1814.0,5400000.0,8.835103154486447,1,9,1,32,18.5,7,12,1,0.0,0.0,0,0.0
1815.0,5400000.0,11.601562447913066,1,5,4,30.3,18.4,5.8,15,1,0.0,1.0,1,0.0
1816.0,5400000.0,23.16332814371385,1,17,2,38,20,7,4,1,0.0,1.0,1,0.0
1817.0,5411500.0,12.517183339473375,2,19,3,39.5,23.8,7.5,7,0,1.0,0.0,None,1.0
1818.0,5425000.0,12.85064972090417,1,15,3,35,35,None,11,1,0.0,0.0,None,1.0
1819.0,5425000.0,12.85064972090417,1,15,3,35,17.1,11.9,11,1,0.0,0.0,0,0.0
1820.0,5425200.0,12.517183339473375,2,19,3,41.1,24.6,7.3,7,0,1.0,0.0,None,1.0
1821.0,26200000.0,15.147964523740587,3,28,16,100,48,25,3,1,1.0,1.0,1,0.0
1822.0,8687000.0,14.166012098154741,1,7,1,51.1,33.5,10,10,1,1.0,1.0,None,1.0
1823.0,39000000.0,8.150278082389043,1,29,27,84.2,50,12,9,1,0.0,1.0,None,0.0
1824.0,5432996.0,21.869069012486175,1,31,17,49.3,18.2,13.4,15,1,1.0,1.0,None,1.0
1825.0,5433952.0,21.869069012486175,1,31,11,50.4,18.4,13.5,15,1,1.0,1.0,None,1.0
1826.0,5450000.0,11.223657650063823,1,9,4,33,18,6,19,0,0.0,1.0,1,0.0
1827.0,5450000.0,23.708103271210792,1,10,10,36,15,9.2,4,1,0.0,1.0,1,0.0
1828.0,5450000.0,24.71432065967373,1,14,14,40,18,10,5,1,0.0,1.0,1,0.0
1829.0,5450000.0,10.034480306695585,2,5,1,44,30.8,6,18,1,0.0,0.0,None,0.0
1830.0,5450000.0,19.846218059985794,1,14,3,39.2,21.1,8.5,14,1,0.0,1.0,1,0.0
1831.0,5450000.0,27.676262684977246,2,17,3,52,30,10,15,0,0.0,1.0,0,0.0
1832.0,5450000.0,27.933343379890594,2,9,8,57.9,30,8,35,0,0.0,1.0,1,0.0
1833.0,5450172.0,14.166012098154741,1,7,2,40.3,15.9,11.4,7,0,1.0,0.0,None,1.0
1834.0,5462537.0,21.869069012486175,1,23,4,43.2,15.5,12.5,15,1,1.0,1.0,None,1.0
1835.0,5467008.0,21.869069012486175,1,31,16,50.5,18.5,13.5,15,1,1.0,1.0,None,1.0
1836.0,5468903.0,26.426027658496118,2,17,10,59.6,59.6,None,15,1,1.0,0.0,None,1.0
1837.0,5481995.0,21.869069012486175,1,31,16,49.9,18.2,13.4,15,1,1.0,1.0,None,1.0
