N,Price,Dist,Rooms,Nfloors,Floor,Totsp,Livesp,Kitsp,Metrdist,Walk,Brick,Bal,Tel,New
514.0,6200000.0,16.459462249502604,1,16,8,40,20,None,None,None,0.0,1.0,None,0.0
515.0,6200000.0,14.0271148576476,1,17,11,38,19,8,None,None,0.0,1.0,1,0.0
516.0,6200000.0,12.091439937837283,2,14,5,37,23,6,15,1,0.0,1.0,0,0.0
517.0,6200000.0,12.606973031322271,1,16,4,35,19,10,7,0,0.0,1.0,None,0.0
518.0,6215501.0,7.820948446651953,1,14,14,31.6,21.7,5,15,1,1.0,1.0,None,1.0
519.0,6227314.0,7.820948446651953,1,14,14,31.6,21.6,5,15,1,1.0,1.0,None,1.0
520.0,6229704.0,7.820948446651953,1,14,14,29.2,24.6,4,15,1,1.0,1.0,None,1.0
521.0,6300000.0,11.479786299767031,2,5,4,42.5,28,5.8,10,0,1.0,1.0,None,0.0
522.0,6300000.0,15.667730227401703,2,5,5,45.7,29.5,5.8,10,0,0.0,1.0,None,0.0
523.0,6300000.0,11.034685465910075,1,12,11,36,20,10,15,1,0.0,1.0,1,0.0
524.0,6350000.0,15.884297508287554,1,17,10,38,19,7.4,17,1,0.0,1.0,0,0.0
525.0,6355440.0,7.820948446651953,1,14,7,29.1,24.6,4,15,1,1.0,1.0,None,1.0
526.0,6361672.0,19.801462864390036,2,14,2,64.5,40.7,15.5,20,0,1.0,1.0,None,1.0
527.0,6364152.0,16.491838466670004,2,17,2,56.3,None,None,20,1,1.0,1.0,None,1.0
528.0,6369560.0,19.801462864390036,2,14,2,64.6,30.7,15.6,20,0,1.0,1.0,None,1.0
529.0,6374150.0,13.028082986637598,2,8,4,49.2,49.2,None,10,0,1.0,1.0,0,0.0
530.0,6400000.0,5.132923057005831,1,5,2,30,19,4,10,1,1.0,1.0,None,0.0
531.0,6400000.0,13.198512140435518,2,5,3,44,27.5,6,13,1,1.0,1.0,None,0.0
532.0,6400000.0,15.632023237004885,2,9,1,37,29,7,12,1,0.0,0.0,0,0.0
533.0,9900000.0,8.581680106175046,2,5,4,40.6,26,6,8,1,0.0,1.0,1,0.0
534.0,39000000.0,8.531314244533466,2,45,26,65,50,10,8,1,0.0,0.0,1,0.0
535.0,25278000.0,13.54989907951644,3,25,19,153.2,100,12,5,0,1.0,1.0,1,0.0
536.0,6420594.0,19.801462864390036,2,16,16,66.3,28.6,12.6,20,0,1.0,1.0,None,1.0
537.0,6450000.0,8.483144846259782,1,5,3,31,20,6,15,0,1.0,1.0,1,0.0
538.0,6480000.0,11.651961587816405,1,12,7,35,19.7,10,15,0,0.0,1.0,1,0.0
539.0,6490000.0,13.12533191651853,1,26,3,43.5,25,None,5,1,1.0,0.0,None,1.0
540.0,6490589.0,19.801462864390036,2,14,6,62.2,30.9,13.8,20,0,1.0,1.0,None,1.0
541.0,6500000.0,7.296725763152074,1,5,2,32,21,6.2,12,1,0.0,1.0,1,0.0
542.0,6500000.0,7.451899250523698,1,9,3,32,21.5,6,10,1,0.0,1.0,1,0.0
543.0,6500000.0,13.130643008117184,1,17,5,37.7,19,7.4,25,0,0.0,1.0,None,0.0
